cliente_id,nome,cidade
1,Alessandra Nogueira,Curitiba
2,Bernardo Salles,Joinville
3,Cecília Prado,São Paulo
4,Daniel Werneck,Florianópolis
5,Estela Cunha,Curitiba
6,Fábio Lacerda,São Paulo
7,Giovana Peixoto,Joinville
8,Hugo Mendonça,Florianópolis
9,Isadora Brandão,Curitiba
10,João Vitor Assis,São Paulo
11,Kelly Damasceno,Joinville
12,Leonardo Xavier,Florianópolis
13,Marcela Tavares,Curitiba
14,Nathan Correia,São Paulo
15,Olívia Marques,Joinville
16,Pedro Henrique Lopes,Florianópolis
17,Queila Fonseca,Curitiba
18,Ricardo Junqueira,São Paulo
19,Sônia Aparecida Reis,Joinville
20,Tales Bittencourt,Florianópolis
